conditionid,closingcondition,conditionfamily,conditionname,conditionpayload,configurable,consolidation,consolidationsleeptime,description,downstream,fetchdata,issnooze,priority,remediation,snooze,sourcesystem,underresearch,updatedtime
11730,False,9,User Access Logging Service- Not In Running State,,,False,,,itsm,,False,,,,1.0,,
1001102,False,9,The SMTP service crashes intermittently on a Windows Server 2003,,,False,,,itsm,,False,,,,1.0,,
10261,False,5,Microsoft Connector for POP3 Mailboxes - Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
50010,,,,,,False,,,itsm,,False,,,,2.0,,
1002316,False,4,Application Launch Requests Might Fail on a Provisioned XenApp Multihomed Server.,,,False,,,itsm,,False,,,,1.0,,
1000887,False,7,Storage Agents - Possible issue with the tape library,,,False,,,itsm,,False,,,,1.0,,
11566,False,73,VMware Host lbtd service is not running,,,False,,,itsm,,False,,,,1.0,,
10552,False,9,Serv-U FTP Server - Not In Running State,,,False,,,itsm,,False,,,,1.0,,
50156,,,,,,False,,,itsm,,False,,,,2.0,,
16848,False,89,Lync Server Mediation- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
10313,False,13,Simple Mail Transfer Protocol (SMTP) - Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
16761,False,73,VMware vSphere Update Manager Service- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1000119,False,5,Database recovery failed because it encountered references to a database path and database name that is no longer present - Database recovery Failed.,,,False,,,itsm,,False,,,,1.0,,
16877,False,89,Lync Server Call Detail Recording- Not In Running State,,,False,,,itsm,,False,,,,1.0,,
11811,False,92,Non-Routable IP,,,False,,,itsm,,False,,,,1.0,,
1001361,False,7,Storage Agents - Could not read the registry subkey.,,,False,,,itsm,,False,,,,1.0,,
1000352,False,7,HP Insight Management Foundation Agent detected physical drive degraded.,,,False,,,itsm,,False,,,,1.0,,
1001901,False,11,SharePoint Services - Search service unable to index new documents,,,False,,,itsm,,False,,,,1.0,,
1000947,False,7,MegaRAID Storage Manager - Unstable Enclosure.,,,False,,,itsm,,False,,,,1.0,,
10422,False,2,AVG7 Remote Support Service (AvgAgent) - Not In Running State,,,False,,,itsm,,False,,,,1.0,,
1001172,False,1,Read/Write operation is taking long time for Directory service,,,False,,,itsm,,False,,,,1.0,,
1000079,False,5,Unexpected error occurred reading the file - Database file missing or there may be other causes for this error - Mail flow down.,,,False,,,itsm,,False,,,,1.0,,
1137,False,1,The attempt to establish a replication link for the directory partition failed,,,False,,,itsm,,False,,,,1.0,,
25001,False,LDS,LowDisk Space For Desktop,Test,False,True,"{\"duration\":600,\"unit\":\"SEC\"}",,ITSM,False,True,0,False,"{\"duration\":600,\"unit\":\"SEC\"}",1.0,False,2020-02-25 07:52:26.570+0000
1000959,False,7,MegaRAID Storage Manager - Battery/charger problems detected.,,,False,,,itsm,,False,,,,1.0,,
1002255,False,1,Active Directory DFSR - Files are missing / change after a DFSR replication,,,False,,,itsm,,False,,,,1.0,,
1003141,True,5,MS Exchange - Internal Aggregate Delivery Queue Length (All Internal Queues) is high (Closing condition),,,False,,,itsm,,False,,,,1.0,,
16921,False,4,Citrix Group Policy Engine- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
10547,False,9,REG_SERVER - Not In Running State,,,False,,,itsm,,False,,,,1.0,,
1000362,True,7,Promise FastTrak fasttx2k Controller device responded within the timeout Period (Closing condition).,,,False,,,itsm,,False,,,,1.0,,
11497,False,36,Server reboot pending after patch installation,,,False,,,itsm,,False,,,,1.0,,
